Titulo do Projeto;Perguntas;Respostas
tensorflow/tensorflow;90;644
keras-team/keras;71;74
pytorch/pytorch;86;76
scikit-learn/scikit-learn;101;102
aymericdamien/TensorFlow-Examples;0;0
tesseract-ocr/tesseract;0;0
ageitgey/face_recognition;0;0
deepfakes/faceswap;0;0
BVLC/caffe;0;0
Avik-Jain/100-Days-Of-ML-Code;0;0
JuliaLang/julia;0;0
binhnguyennus/awesome-scalability;0;0
madewithml/basics;0;0
ZuzooVn/machine-learning-for-software-engineers;0;0
terryum/awesome-deep-learning-papers;0;0
ageron/handson-ml;0;0
dmlc/xgboost;0;0
fastai/fastai;0;0
donnemartin/data-science-ipython-notebooks;0;0
fengdu78/Coursera-ML-AndrewNg-Notes;0;0
d2l-ai/d2l-zh;0;0
CMU-Perceptual-Computing-Lab/openpose;0;0
eriklindernoren/ML-From-Scratch;0;0
explosion/spaCy;0;0
sebastianruder/NLP-progress;0;0
microsoft/CNTK;0;0
ChristosChristofidis/awesome-deep-learning;0;0
MLEveryday/100-Days-Of-ML-Code;0;0
mozilla/DeepSpeech;0;0
datawhalechina/pumpkin-book;0;0
Developer-Y/cs-video-courses;0;0
mxgmn/WaveFunctionCollapse;0;0
zziz/pwc;0;0
oxford-cs-deepnlp-2017/lectures;0;0
trekhleb/homemade-machine-learning;0;0
academic/awesome-datascience;0;0
tensorflow/tfjs;0;0
ray-project/ray;0;0
kailashahirwar/cheatsheets-ai;0;0
ty4z2008/Qix;0;0
google-research/google-research;0;0
PaddlePaddle/Paddle;0;0
emilwallner/Screenshot-to-code;0;0
virgili0/Virgilio;0;0
zergtant/pytorch-handbook;0;0
spmallick/learnopencv;0;0
amark/gun;0;0
lutzroeder/netron;0;0
microsoft/LightGBM;0;0
streamlit/streamlit;0;0
RaRe-Technologies/gensim;0;0
keon/awesome-nlp;0;0
afshinea/stanford-cs-229-machine-learning;0;0
rasbt/python-machine-learning-book;0;0
bharathgs/Awesome-pytorch-list;0;0
ujjwalkarn/Machine-Learning-Tutorials;0;0
ramitsurana/awesome-kubernetes;0;0
slundberg/shap;0;0
tensorflow/tensor2tensor;0;0
gunthercox/ChatterBot;0;0
alex000kim/nsfw_data_scraper;0;0
horovod/horovod;0;0
fastai/fastbook;0;0
hangtwenty/dive-into-machine-learning;0;0
aleju/imgaug;0;0
RasaHQ/rasa;0;0
apple/turicreate;0;0
chiphuyen/stanford-tensorflow-tutorials;0;0
PyTorchLightning/pytorch-lightning;0;0
kubeflow/kubeflow;0;0
davisking/dlib;0;0
flairNLP/flair;0;0
tflearn/tflearn;0;0
esimov/caire;0;0
hindupuravinash/the-gan-zoo;0;0
nltk/nltk;0;0
google/mediapipe;0;0
onnx/onnx;0;0
ddbourgin/numpy-ml;0;0
botpress/botpress;0;0
TheAlgorithms/C-Plus-Plus;0;0
vahidk/EffectiveTensorflow;0;0
janishar/mit-deep-learning-book-pdf;0;0
donnemartin/awesome-aws;0;0
deepmind/sonnet;0;0
MorvanZhou/tutorials;0;0
JaidedAI/EasyOCR;0;0
tensorflow/tfjs-core;0;0
Hvass-Labs/TensorFlow-Tutorials;0;0
kmario23/deep-learning-drizzle;0;0
microsoft/recommenders;0;0
facebookarchive/caffe2;0;0
hanxiao/bert-as-service;0;0
zalandoresearch/fashion-mnist;0;0
rushter/MLAlgorithms;0;0
microsoft/nni;0;0
lexfridman/mit-deep-learning;0;0
d2l-ai/d2l-en;0;0
GetStream/Winds;0;0
clips/pattern;0;0
Titulo do Projeto;Perguntas;Respostas
tensorflow/tensorflow;90;644
keras-team/keras;71;74
pytorch/pytorch;86;76
scikit-learn/scikit-learn;101;102
aymericdamien/TensorFlow-Examples;0;0
tesseract-ocr/tesseract;0;0
ageitgey/face_recognition;0;0
deepfakes/faceswap;0;0
BVLC/caffe;0;0
Avik-Jain/100-Days-Of-ML-Code;0;0
JuliaLang/julia;0;0
binhnguyennus/awesome-scalability;0;0
madewithml/basics;0;0
ZuzooVn/machine-learning-for-software-engineers;0;0
terryum/awesome-deep-learning-papers;0;0
ageron/handson-ml;0;0
dmlc/xgboost;0;0
fastai/fastai;0;0
donnemartin/data-science-ipython-notebooks;0;0
fengdu78/Coursera-ML-AndrewNg-Notes;0;0
d2l-ai/d2l-zh;0;0
CMU-Perceptual-Computing-Lab/openpose;0;0
eriklindernoren/ML-From-Scratch;0;0
explosion/spaCy;0;0
sebastianruder/NLP-progress;0;0
microsoft/CNTK;0;0
ChristosChristofidis/awesome-deep-learning;0;0
MLEveryday/100-Days-Of-ML-Code;0;0
mozilla/DeepSpeech;0;0
datawhalechina/pumpkin-book;0;0
Developer-Y/cs-video-courses;0;0
mxgmn/WaveFunctionCollapse;0;0
zziz/pwc;0;0
oxford-cs-deepnlp-2017/lectures;0;0
trekhleb/homemade-machine-learning;0;0
academic/awesome-datascience;0;0
tensorflow/tfjs;0;0
ray-project/ray;0;0
kailashahirwar/cheatsheets-ai;0;0
ty4z2008/Qix;0;0
google-research/google-research;0;0
PaddlePaddle/Paddle;0;0
emilwallner/Screenshot-to-code;0;0
virgili0/Virgilio;0;0
zergtant/pytorch-handbook;0;0
spmallick/learnopencv;0;0
amark/gun;0;0
lutzroeder/netron;0;0
microsoft/LightGBM;0;0
streamlit/streamlit;0;0
RaRe-Technologies/gensim;0;0
keon/awesome-nlp;0;0
afshinea/stanford-cs-229-machine-learning;0;0
rasbt/python-machine-learning-book;0;0
bharathgs/Awesome-pytorch-list;0;0
ujjwalkarn/Machine-Learning-Tutorials;0;0
ramitsurana/awesome-kubernetes;0;0
slundberg/shap;0;0
tensorflow/tensor2tensor;0;0
gunthercox/ChatterBot;0;0
alex000kim/nsfw_data_scraper;0;0
horovod/horovod;0;0
fastai/fastbook;0;0
hangtwenty/dive-into-machine-learning;0;0
aleju/imgaug;0;0
RasaHQ/rasa;0;0
apple/turicreate;0;0
chiphuyen/stanford-tensorflow-tutorials;0;0
PyTorchLightning/pytorch-lightning;0;0
kubeflow/kubeflow;0;0
davisking/dlib;0;0
flairNLP/flair;0;0
tflearn/tflearn;0;0
esimov/caire;0;0
hindupuravinash/the-gan-zoo;0;0
nltk/nltk;0;0
google/mediapipe;0;0
onnx/onnx;0;0
ddbourgin/numpy-ml;0;0
botpress/botpress;0;0
TheAlgorithms/C-Plus-Plus;0;0
vahidk/EffectiveTensorflow;0;0
janishar/mit-deep-learning-book-pdf;0;0
donnemartin/awesome-aws;0;0
deepmind/sonnet;0;0
MorvanZhou/tutorials;0;0
JaidedAI/EasyOCR;0;0
tensorflow/tfjs-core;0;0
Hvass-Labs/TensorFlow-Tutorials;0;0
kmario23/deep-learning-drizzle;0;0
microsoft/recommenders;0;0
facebookarchive/caffe2;0;0
hanxiao/bert-as-service;0;0
zalandoresearch/fashion-mnist;0;0
rushter/MLAlgorithms;0;0
microsoft/nni;0;0
lexfridman/mit-deep-learning;0;0
d2l-ai/d2l-en;0;0
GetStream/Winds;0;0
clips/pattern;0;0
